date,rank,song,artist,last-week,peak-rank,weeks-on-board
2021-10-02,24,Butter,BTS,14,1,18
2021-10-02,25,Traitor,Olivia Rodrigo,37,9,18
2021-10-02,26,Leave Before You Love Me,Marshmello X Jonas Brothers,32,19,18
2021-10-02,27,Pepas,Farruko,34,26,9
2021-10-02,28,Happier Than Ever,Billie Eilish,36,11,8
2021-10-02,29,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,43,29,12
2021-10-02,30,Champagne Poetry,Drake,19,4,3
2021-10-02,31,Hurricane,Kanye West,26,6,4
2021-10-02,32,Chasing After You,Ryan Hurd With Maren Morris,39,32,21
2021-10-02,33,Leave The Door Open,Silk Sonic (Bruno Mars and Anderson .Paak),31,1,29
2021-10-02,34,Things A Man Oughta Know,Lainey Wilson,38,32,19
2021-10-02,35,Wockesha,Moneybagg Yo,50,33,22
2021-10-02,36,Peaches,Justin Bieber Featuring Daniel Caesar and Giveon,40,1,27
2021-10-02,37,Wildest Dreams (Taylors Version),Taylor Swift,0,37,1
2021-10-02,38,Family Ties,Baby Keem and Kendrick Lamar,25,18,4
2021-10-02,39,A-O-K,Tai Verdes,46,39,12
2021-10-02,40,No Friends In The Industry,Drake,22,11,3
2021-10-02,41,Arcade,Duncan Laurence,42,30,24
2021-10-02,42,Scoop,Lil Nas X Featuring Doja Cat,0,42,1
2021-10-02,43,In The Bible,Drake Featuring Lil Durk and Giveon,29,7,3
2021-10-02,44,Meet Me At Our Spot,THE ANXIETY: WILLOW and Tyler Cole,64,44,2
2021-10-02,45,Late At Night,Roddy Ricch,49,20,16
2021-10-02,46,Rumors,Lizzo Featuring Cardi B,44,4,6
2021-10-02,47,Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,0,47,1
2021-10-02,48,TSU,Drake,27,9,3
2021-10-02,49,Thot Shit,Megan Thee Stallion,48,16,15
2021-10-02,50,You Time,Scotty McCreery,69,50,8
2021-10-02,51,Love Again,Dua Lipa,55,51,10
2021-10-02,52,Wild Side,Normani Featuring Cardi B,59,14,10
2021-10-02,53,I Was On A Boat That Day,Old Dominion,56,53,12
2021-10-02,54,Memory I Dont Mess With,Lee Brice,62,54,9
2021-10-02,55,Buy Dirt,Jordan Davis Featuring Luke Bryan,51,51,7
2021-10-02,56,Have Mercy,Chloe,28,28,2
2021-10-02,57,Love All,Drake Featuring JAY-Z,35,10,3
2021-10-02,58,Whole Lotta Money,BIA Featuring Nicki Minaj,61,16,11
2021-10-02,59,N 2 Deep,Drake Featuring Future,33,12,3
2021-10-02,60,Waves,Luke Bryan,52,24,14
2021-10-02,61,Sharing Locations,Meek Mill Featuring Lil Baby and Lil Durk,65,22,4
2021-10-02,62,Woman,Doja Cat,67,62,8
2021-10-02,63,Lonely,DaBaby X Lil Wayne,68,63,2
2021-10-02,64,Gyalis,Capella Grey,70,64,8
2021-10-02,65,2055,Sleepy Hallow,66,51,10
2021-10-02,66,Papis Home,Drake,41,8,3
2021-10-02,67,My Boy,Elvie Shane,74,67,13
2021-10-02,68,Pipe Down,Drake,45,14,3
2021-10-02,69,Cold As You,Luke Combs,79,69,8
2021-10-02,70,Drunk (And I Dont Wanna Go Home),Elle King and Miranda Lambert,73,53,22
2021-10-02,71,On My Side,YoungBoy Never Broke Again,0,71,1
2021-10-02,72,Dead Right Now,Lil Nas X,0,72,1
2021-10-02,73,Memory,Kane Brown X blackbear,81,50,11
2021-10-02,74,Cold Heart (PNAU Remix),Elton John and Dua Lipa,98,74,3
2021-10-02,75,Volvi,Aventura x Bad Bunny,80,22,8
2021-10-02,76,Moon,Kanye West,58,17,4
2021-10-02,77,Drinkin Beer. Talkin God. Amen.,Chase Rice Featuring Florida Georgia Line,77,24,17
2021-10-02,78,Baddest,Yung Bleu- Chris Brown and 2 Chainz,94,78,8
2021-10-02,79,Life Support,YoungBoy Never Broke Again,63,63,2
2021-10-02,80,Love Nwantiti (Ah Ah Ah),CKay,0,80,1
2021-10-02,81,Thinking Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,91,81,6
2021-10-02,82,Todo de Ti,Rauw Alejandro,82,32,17
2021-10-02,83,You Should Probably Leave,Chris Stapleton,92,63,12
2021-10-02,84,Get Into It (Yuh),Doja Cat,85,68,7
2021-10-02,85,Yonaguni,Bad Bunny,87,10,16
2021-10-02,86,Tales Of Dominica,Lil Nas X,0,86,1
2021-10-02,87,Summer Of Love,Shawn Mendes and Tainy,93,48,5
2021-10-02,88,One Of Me,Lil Nas X Featuring Elton John,0,88,1
2021-10-02,89,Race My Mind,Drake,54,18,3
2021-10-02,90,Lost In The Citadel,Lil Nas X,0,90,1
2021-10-02,91,Sun Goes Down,Lil Nas X,0,66,2
2021-10-02,92,7am On Bridle Path,Drake,57,16,3
2021-10-02,93,Off The Grid,Kanye West,75,11,4
2021-10-02,94,In Da Getto,J Balvin and Skrillex,90,90,3
2021-10-02,95,Skate,Silk Sonic (Bruno Mars and Anderson .Paak),71,14,8
2021-10-02,96,Knowing You,Kenny Chesney,100,87,6
2021-10-02,97,Am I Dreaming,Lil Nas X Featuring Miley Cyrus,0,97,1
2021-10-02,98,Same Boat,Zac Brown Band,0,98,1
2021-10-02,99,Come Through,H.E.R. Featuring Chris Brown,95,64,15
2021-10-02,100,Dont Go Yet,Camila Cabello,88,42,9
